Electricity_Usage,Year_Built,Floors,Area_SQFT,PLEI_1_Quantity,PLEI_3_Quantity
7992,1931,1,200,2,1
25851,1965,1,5000,6,1
15564,1920,2,6000,2,1
6042,1950,1,100,1,1
55500,1929,2,1000,1,1
11861,1931,1,200,2,1
30616,1931,1,2000,2,1
15392,1940,1,200,8,1
5712,1900,3,300,3,1
97587,2013,2,6000,1,1
6499,1920,2,900,2,7
61983,1942,2,1000,8,1
57400,1950,2,1200,3,1
51172,1960,2,1500,2,1
4510,1910,3,324,2,1
23643,1931,2,375,1,4
5945,1900,2,432,5,1
4533,1926,4,495,1,1
4007,1929,2,600,1,1
16207,1940,1,600,1,1
14232,1870,2,622,2,7
380400,1931,4,6500,2,27
6962,1910,4,695,3,1
5400,1914,2,738,1,2
14650,1950,1,800,1,1
54860,1929,2,800,1,1
50604,1922,1,800,3,2
33778,1900,1,900,1,1
84231,1961,3,914,6,2
7769,1900,2,1100,2,2
14688,1900,1,1250,9,7
12651,1934,2,1304,7,5
17291,1950,1,1500,1,1
92932,2004,1,1500,1,2
8532,1900,2,1520,1,3
7990,1931,3,1782,1,2
22770,1931,1,1800,1,1
4752,1910,1,1920,1,1
9801,1910,2,1980,1,1
6732,1920,2,2141,1,2
21930,1935,2,2170,1,13
12663,1934,2,2178,1,1
106938,1910,1,2200,2,1
21583,1931,2,2200,1,1
4670,1930,2,2400,4,1
14638,1929,2,2480,3,1
15840,1930,2,2500,2,4
7911,1940,2,2700,1,1
25632,1899,2,2800,2,1
6134,1910,2,2880,1,1
6365,1931,1,3128,4,1
3144,2006,1,3371,4,1
49960,1900,2,3420,4,1
29849,1971,1,3500,13,1
2213,1960,2,3500,1,1
3545,1890,2,3600,1,1
10722,1897,2,3800,4,1
13607,1886,2,3854,1,1
32343,1930,3,4196,1,1
180840,1910,4,4555,22,9
9740,1926,2,4592,1,1
41130,1931,2,4800,1,1
16417,1930,3,5141,7,3
4757,1917,4,5248,1,2
15145,1921,1,5300,1,1
34740,1990,2,5400,3,1
12636,1925,3,5416,1,1
15130,1931,1,5700,1,2
170240,1931,4,6304,8,14
4283,1931,1,6501,2,1
58081,1920,3,6656,1,2
11243,1930,2,7200,2,6
12021,1950,1,7300,3,2
97200,1910,3,7500,2,1
16088,1965,1,7826,1,1
156080,1910,3,7847,3,2
74760,1930,2,8172,21,1
44874,1890,3,8300,15,4
34372,1965,1,8900,1,1
31880,1847,2,9280,1,2
28020,1931,3,9600,2,3
29196,1920,4,9729,2,1
38471,1900,4,10209,6,2
18774,1965,2,10300,1,1
132940,1900,2,10418,4,2
37760,1965,1,10989,6,3
46231,1847,2,12500,3,4
117870,1955,4,14600,1,2
186302,1930,4,15914,40,3
69695,1950,3,17651,6,9
9525,1950,2,17872,4,2
79360,1900,2,22637,1,1
205336,1910,4,22911,1,7
34110,1946,4,25505,9,9
228985,1964,2,26318,18,7
228985,1964,2,26318,18,7
9535,1950,2,17872,4,2
79370,1900,2,22637,1,1
205356,1910,4,22911,1,6
34150,1946,4,25505,9,8
228995,1964,2,26318,18,6
228965,1965,2,26318,18,6